Date,Open,High,Low,Close,Previous,Change,%Change,Daily Return,Rolling Volatility
2009-03-02,43.19,43.38,41.44,43.17,,0.0,0.0,,
2009-03-03,43.17,43.9,41.2,43.89,43.17,0.72,0.0167,inf,
2009-03-04,43.89,43.89,42.16,42.52,43.89,-1.37,-0.0312,-2.8682634730538923,
2009-03-05,42.52,42.71,40.41,41.49,42.52,-1.03,-0.0242,-0.22435897435897434,
2009-03-06,41.49,41.49,37.57,38.16,41.49,-3.33,-0.0803,2.3181818181818183,
2009-03-09,38.16,41.14,38.16,40.87,38.16,2.71,0.071,-1.884184308841843,
2009-03-12,40.87,40.87,38.5,39.27,40.87,-1.6,-0.0391,-1.5507042253521126,
2009-03-13,39.27,39.27,35.08,35.56,39.27,-3.71,-0.0945,1.4168797953964192,
2009-03-16,35.56,37.88,35.56,36.7,35.56,1.14,0.0321,-1.3396825396825396,
2009-03-17,36.7,38.76,34.85,38.43,36.7,1.73,0.0471,0.4672897196261685,
2009-03-18,38.43,38.86,36.99,38.15,38.43,-0.28,-0.0073,-1.1549893842887473,
2009-03-19,38.15,38.6,36.65,37.74,38.15,-0.41,-0.0107,0.4657534246575341,
2009-03-20,37.74,37.99,34.98,37.0,37.74,-0.74,-0.0196,0.8317757009345794,
2009-03-23,37.0,38.6,36.62,38.59,37.0,1.59,0.043,-3.193877551020408,
2009-03-24,38.59,39.86,36.34,38.02,38.59,-0.57,-0.0148,-1.344186046511628,
2009-03-25,38.02,41.7,35.94,37.41,38.02,-0.61,-0.016,0.08108108108108114,
2009-03-26,37.41,40.2,36.52,37.23,37.41,-0.18,-0.0048,-0.7,
2009-03-27,37.23,40.34,36.79,37.58,37.23,0.35,0.0094,-2.9583333333333335,
2009-03-30,37.58,41.31,37.58,40.09,37.58,2.51,0.0668,6.106382978723404,
2009-03-31,40.09,41.03,39.16,39.49,40.09,-0.6,-0.015,-1.2245508982035929,
2009-04-01,39.49,39.49,36.42,36.44,39.49,-3.05,-0.0772,4.146666666666667,
2009-04-02,36.44,37.82,34.26,37.37,36.44,0.93,0.0255,-1.3303108808290154,
2009-04-06,37.37,42.4,36.44,41.02,37.37,3.65,0.0977,2.831372549019608,
2009-04-08,41.02,43.54,39.64,43.29,41.02,2.27,0.0553,-0.43398157625383826,
2009-04-09,43.29,44.35,40.34,43.21,43.29,-0.08,-0.0018,-1.0325497287522605,
2009-04-13,43.21,47.32,42.98,46.57,43.21,3.36,0.0778,-44.22222222222222,
2009-04-15,46.57,48.91,44.31,47.59,46.57,1.02,0.0219,-0.718508997429306,
2009-04-16,47.59,51.55,44.47,50.1,47.59,2.51,0.0527,1.406392694063927,
2009-04-17,50.1,51.58,44.98,50.65,50.1,0.55,0.011,-0.7912713472485768,
2009-04-20,50.65,55.6,44.57,54.41,50.65,3.76,0.0742,5.745454545454546,
2009-04-21,54.41,54.99,50.38,53.27,54.41,-1.14,-0.021,-1.2830188679245282,
2009-04-22,48.47,54.39,48.47,53.59,53.27,0.32,0.006,-1.2857142857142856,8.398396045885475
2009-04-23,46.98,52.69,46.98,49.23,53.59,-4.36,-0.0814,-14.566666666666666,8.731153216010062
2009-04-24,45.68,49.14,45.48,47.12,49.23,-2.11,-0.0429,-0.4729729729729729,8.729677458039827
2009-04-27,47.12,50.47,47.12,49.11,47.12,1.99,0.0422,-1.9836829836829837,8.694011324046453
2009-04-28,49.11,49.89,47.25,48.74,49.11,-0.37,-0.0075,-1.1777251184834123,8.695289923872124
2009-04-29,48.74,48.74,45.74,45.87,48.74,-2.87,-0.0589,6.8533333333333335,8.843559956560327
2009-05-04,45.87,50.66,45.16,50.51,45.87,4.64,0.1012,-2.7181663837011882,8.825585607670575
2009-05-05,50.51,51.68,48.35,51.14,50.51,0.63,0.0125,-0.8764822134387351,8.826883903490925
2009-05-06,51.14,53.7,48.85,52.04,51.14,0.9,0.0176,0.4079999999999999,8.826361257744583
2009-05-07,52.04,53.84,51.04,51.08,52.04,-0.96,-0.0184,-2.0454545454545454,8.825545824377704
2009-05-08,51.08,51.08,48.45,50.94,51.08,-0.14,-0.0027,-0.8532608695652174,8.816895515957581
2009-05-11,50.94,55.23,50.76,54.76,50.94,3.82,0.075,-28.777777777777775,10.069602265069625
2009-05-12,54.76,54.76,49.99,52.2,54.76,-2.56,-0.0467,-1.6226666666666667,10.07200137913317
2009-05-13,52.2,53.01,48.34,52.97,52.2,0.77,0.0148,-1.316916488222698,10.072141141221016
2009-05-14,49.02,53.38,49.02,52.32,52.97,-0.65,-0.0123,-1.8310810810810811,10.059144707826087
2009-05-15,52.32,52.32,44.7,52.01,52.32,-0.31,-0.0059,-0.5203252032520325,10.060547503230614
2009-05-18,52.01,52.01,52.01,52.01,52.01,0.0,0.0,-1.0,10.066405995353872
2009-05-19,52.01,57.1,48.01,56.07,52.01,4.06,0.0781,inf,
2009-05-20,51.05,54.66,49.4,49.51,56.07,-6.56,-0.1169999999999999,-2.4980793854033276,
2009-05-21,46.24,47.98,42.22,43.31,49.51,-6.2,-0.1252,0.07008547008547117,
2009-05-22,39.22,44.6,39.22,41.97,43.31,-1.34,-0.0309,-0.7531948881789138,
2009-05-25,35.12,42.59,35.12,39.38,41.97,-2.59,-0.0617,0.9967637540453074,
2009-05-26,39.38,44.3,39.38,43.87,39.38,4.49,0.114,-2.847649918962723,
2009-05-27,43.87,43.87,39.27,39.74,43.87,-4.13,-0.0941,-1.825438596491228,
2009-05-28,39.74,39.77,37.78,37.78,39.74,-1.96,-0.0493,-0.4760892667375133,
2009-05-29,37.78,41.31,37.17,40.57,37.78,2.79,0.0738,-2.4969574036511157,
2009-06-01,40.57,42.22,38.3,41.02,40.57,0.45,0.0111,-0.8495934959349594,
2009-06-02,41.02,41.02,38.98,40.17,41.02,-0.85,-0.0207,-2.864864864864865,
2009-06-03,40.17,40.23,35.72,39.42,40.17,-0.75,-0.0187,-0.09661835748792258,
2009-06-04,39.42,40.57,33.71,40.2,39.42,0.78,0.0198,-2.0588235294117645,
2009-06-05,40.2,40.73,37.5,40.0,40.2,-0.2,-0.005,-1.2525252525252526,
2009-06-08,40.0,42.11,37.99,42.06,40.0,2.06,0.0515,-11.299999999999999,
2009-06-09,42.06,42.06,37.43,39.84,42.06,-2.22,-0.0528,-2.025242718446602,
2009-06-10,39.84,40.08,35.99,39.44,39.84,-0.4,-0.01,-0.8106060606060606,
2009-06-11,39.44,41.05,37.21,40.86,39.44,1.42,0.036,-4.6,
2009-06-12,40.86,40.86,38.36,40.19,40.86,-0.67,-0.0163999999999999,-1.4555555555555528,
2009-06-15,40.19,42.55,38.66,41.13,40.19,0.94,0.0234,-2.4268292682926917,
2009-06-16,35.09,41.87,35.09,41.44,41.13,0.31,0.0075,-0.6794871794871795,
2009-06-17,41.44,44.96,37.76,44.89,41.44,3.45,0.0833,10.106666666666667,
2009-06-18,42.75,45.18,42.23,44.95,44.89,0.06,0.0013,-0.9843937575030012,
2009-06-19,40.3,44.04,40.3,42.47,44.95,-2.48,-0.0552,-43.46153846153846,
2009-06-22,40.68,45.0,40.68,44.17,42.47,1.7,0.04,-1.7246376811594204,
2009-06-23,44.17,44.17,44.17,44.17,44.17,0.0,0.0,-1.0,
2009-06-24,44.17,49.31,44.17,44.17,44.17,0.0,0.0,,
2009-06-25,44.17,46.16,41.73,43.63,44.17,-0.54,-0.0122,-inf,
2009-06-26,43.63,43.63,37.73,38.3,43.63,-5.33,-0.1222,9.01639344262295,
2009-06-29,38.3,40.67,38.3,40.51,38.3,2.21,0.0576999999999999,-1.472176759410801,
2009-06-30,40.51,43.38,40.2,42.52,40.51,2.01,0.0496,-0.14038128249566573,
2009-07-01,42.52,44.38,41.94,43.07,42.52,0.55,0.0129,-0.7399193548387097,
2009-07-02,43.07,44.54,42.78,43.8,43.07,0.73,0.0169,0.31007751937984485,
2009-07-03,43.8,46.55,43.8,46.55,43.8,2.75,0.0628,2.7159763313609466,
2009-07-06,46.55,47.25,39.3,39.7,46.55,-6.85,-0.1472,-3.3439490445859876,
2009-07-07,39.7,39.7,35.53,36.22,39.7,-3.48,-0.0877,-0.40421195652173914,
2009-07-08,36.22,37.59,34.71,37.27,36.22,1.05,0.0289999999999999,-1.33067274800456,
2009-07-09,37.27,37.81,35.73,35.96,37.27,-1.31,-0.0351,-2.210344827586211,
2009-07-10,35.96,36.65,34.97,35.03,35.96,-0.93,-0.0259,-0.2621082621082621,
2009-07-13,35.03,37.55,35.03,36.5,35.03,1.47,0.042,-2.621621621621622,
2009-07-14,36.5,36.5,34.2,34.67,36.5,-1.83,-0.0501,-2.192857142857143,
2009-07-15,34.67,36.33,31.41,36.12,34.67,1.45,0.0418,-1.8343313373253491,
2009-07-16,33.38,38.18,33.38,37.58,36.12,1.46,0.0404,-0.03349282296650713,
2009-07-17,34.34,37.23,34.34,35.95,37.58,-1.63,-0.0434,-2.0742574257425743,
2009-07-20,34.65,37.65,34.32,36.97,35.95,1.02,0.0283999999999999,-1.6543778801843296,
2009-07-21,36.59,37.49,36.31,36.56,36.97,-0.41,-0.0111,-1.3908450704225366,
2009-07-22,35.24,37.29,35.24,37.13,36.56,0.57,0.0156,-2.4054054054054053,
2009-07-23,35.72,36.9,35.72,36.31,37.13,-0.82,-0.0221,-2.416666666666667,
2009-07-24,34.97,37.27,34.97,36.59,36.31,0.28,0.0077,-1.3484162895927603,
2009-07-27,36.11,38.57,36.11,37.43,36.59,0.84,0.023,1.987012987012987,
2009-07-28,37.43,37.48,35.95,35.95,37.43,-1.48,-0.0395,-2.717391304347826,
2009-07-29,35.95,37.62,35.73,37.55,35.95,1.6,0.0445,-2.1265822784810124,
2009-07-30,37.55,37.55,35.65,36.6,37.55,-0.95,-0.0253,-1.5685393258426967,
2009-07-31,36.6,36.6,34.88,36.14,36.6,-0.46,-0.0126,-0.5019762845849802,
2009-08-03,36.14,37.67,35.4,37.38,36.14,1.24,0.0343,-3.722222222222222,
2009-08-04,37.38,37.48,36.32,37.1,37.38,-0.28,-0.0075,-1.21865889212828,
2009-08-05,37.1,37.99,36.16,37.04,37.1,-0.06,-0.0016,-0.7866666666666666,
2009-08-06,36.13,38.41,35.57,38.0,37.04,0.96,0.0259,-17.1875,3.775548203786345
2009-08-07,38.0,38.49,32.33,37.74,38.0,-0.26,-0.0068,-1.2625482625482625,3.217598900775375
2009-08-10,37.74,39.89,36.72,39.14,37.74,1.4,0.0371,-6.455882352941177,3.326964717281676
2009-08-11,39.14,39.2,31.59,39.04,39.14,-0.1,-0.0026,-1.0700808625336928,3.3136898110616904
2009-08-12,37.31,40.61,36.36,38.89,39.04,-0.15,-0.0038,0.4615384615384617,3.3365705106147145
2009-08-13,34.76,38.75,34.76,35.95,38.89,-2.94,-0.0756,18.894736842105264,5.054657837842551
2009-08-14,34.28,37.75,34.28,36.74,35.95,0.79,0.022,-1.291005291005291,4.996499118417443
2009-08-17,34.83,41.89,34.83,41.28,36.74,4.54,0.1236,4.618181818181818,5.103820480435316
2009-08-18,36.37,41.09,36.37,38.74,41.28,-2.54,-0.0615,-1.4975728155339807,5.101813988554281
2009-08-19,35.49,40.29,35.49,39.55,38.74,0.81,0.0209,-1.3398373983739837,5.101819837049497
2009-08-20,37.46,38.86,37.29,37.65,39.55,-1.9,-0.048,-3.2966507177033497,5.1127803332620365
2009-08-21,35.38,38.02,35.38,36.07,37.65,-1.58,-0.042,-0.125,5.113780188102123
2009-08-24,34.24,35.97,34.24,35.51,36.07,-0.56,-0.0155,-0.6309523809523809,5.108584959436657
2009-08-25,35.51,36.31,34.93,35.18,35.51,-0.33,-0.0093,-0.4,5.107132127548502
2009-08-26,35.18,35.18,34.23,34.35,35.18,-0.83,-0.0236,1.5376344086021505,5.128533118874404
2009-08-27,34.35,34.73,33.54,33.6,34.35,-0.75,-0.0218,-0.07627118644067798,5.128251250282217
2009-08-28,33.6,34.26,32.45,33.5,33.6,-0.1,-0.003,-0.8623853211009174,5.124558719704473
2009-08-31,33.5,35.01,33.22,34.22,33.5,0.72,0.0215,-8.166666666666666,5.288746804574456
2009-09-01,31.71,35.76,31.71,34.79,34.22,0.57,0.0167,-0.22325581395348837,5.291682291346591
2009-09-02,34.79,35.58,31.17,34.73,34.79,-0.06,-0.0017,-1.1017964071856288,5.286565692420035
2009-09-03,33.73,35.3,33.3,33.82,34.73,-0.91,-0.0262,14.411764705882355,5.991175866064391
2009-09-04,33.82,33.82,32.15,32.39,33.82,-1.43,-0.0423,0.614503816793893,5.993087460259384
2009-09-07,33.6,33.6,31.91,32.05,32.39,-0.34,-0.0105,-0.75177304964539,5.974673399621999
2009-09-08,26.08,32.41,26.08,31.78,32.05,-0.27,-0.0084,-0.20000000000000007,5.961497103902731
2009-09-09,32.14,32.16,31.4,31.41,31.78,-0.37,-0.0116,0.38095238095238093,5.955638034582312
